iter	Passed	Remaining
0	447	447102
1	727	363132
2	928	308601
3	1146	285502
4	1360	270647
5	1679	278194
6	1916	271838
7	2188	271351
8	2433	267923
9	2637	261095
10	2837	255122
11	3042	250528
12	3239	245975
13	3445	242696
14	3644	239341
15	3838	236059
16	4029	233008
17	4334	236444
18	4564	235685
19	4824	236382
20	5049	235400
21	5295	235410
22	5480	232795
23	5698	231746
24	5936	231524
25	6154	230550
26	6373	229687
27	6629	230123
28	6911	231405
29	7142	230929
30	7354	229886
31	7586	229496
32	7822	229230
33	8063	229087
34	8314	229239
35	8545	228830
36	8775	228405
37	9128	231089
38	9390	231383
39	9615	230780
40	9844	230255
41	10051	229258
42	10260	228361
43	10459	227248
44	10656	226150
45	10855	225139
46	11047	223998
47	11241	222965
48	11440	222040
49	11636	221084
50	11842	220360
51	12046	219611
52	12234	218606
53	12437	217887
54	12632	217057
55	12836	216388
56	13087	216517
57	13316	216281
58	13540	215961
59	13749	215403
60	13944	214647
61	14135	213850
62	14356	213519
63	14562	212977
64	14752	212202
65	14953	211610
66	15175	211322
67	15383	210848
68	15607	210591
69	15828	210293
70	16035	209815
71	16239	209304
72	16456	208977
73	16674	208662
74	16870	208073
75	17075	207598
76	17272	207049
77	17516	207057
78	17723	206629
79	17985	206830
80	18254	207107
81	18460	206668
82	18729	206926
83	19031	207530
84	19323	208015
85	19525	207516
86	19719	206945
87	19924	206492
88	20116	205911
89	20315	205413
90	20512	204899
91	20709	204392
92	20915	203979
93	21111	203480
94	21316	203066
95	21504	202499
96	21697	201985
97	21909	201659
98	22113	201259
99	22306	200757
100	22517	200431
101	23061	203035
102	23330	203179
103	23543	202837
104	23774	202647
105	24014	202541
106	24215	202100
107	24414	201649
108	24607	201153
109	24812	200758
110	25137	201326
111	25348	200977
112	25688	201641
113	26167	203375
114	26495	203901
115	26850	204616
116	27507	207602
117	27737	207323
118	27970	207075
119	28218	206936
120	28428	206514
121	28675	206371
122	28886	205962
123	29145	205895
124	29363	205544
125	29573	205136
126	29840	205124
127	30072	204871
128	30291	204526
129	30521	204257
130	30714	203746
131	30951	203530
132	31169	203186
133	31401	202935
134	31656	202834
135	31892	202611
136	32134	202424
137	32371	202203
138	32579	201805
139	32792	201440
140	33013	201122
141	33211	200671
142	33491	200716
143	33754	200649
144	33987	200408
145	34192	200004
146	34394	199582
147	34600	199186
148	34819	198865
149	35037	198544
150	35241	198146
151	35463	197848
152	35665	197440
153	35870	197055
154	36086	196731
155	36288	196332
156	36529	196141
157	36738	195785
158	36992	195665
159	37261	195621
160	37514	195497
161	37815	195612
162	38101	195647
163	38367	195581
164	38592	195301
165	38799	194932
166	39018	194626
167	39255	194409
168	39462	194044
169	39657	193619
170	39862	193250
171	40174	193397
172	40458	193406
173	40720	193303
174	40966	193128
175	41225	193010
176	41483	192886
177	41771	192897
178	41978	192540
179	42184	192173
180	42368	191712
181	42559	191283
182	42755	190879
183	42959	190514
184	43173	190194
185	43477	190271
186	43694	189967
187	43887	189558
188	44079	189143
189	44282	188783
190	44494	188460
191	44682	188036
192	44875	187641
193	45091	187339
194	45313	187064
195	45512	186692
196	45707	186310
197	45924	186018
198	46127	185668
199	46335	185342
200	46528	184956
201	46767	184753
202	47027	184635
203	47340	184719
204	47587	184547
205	47781	184167
206	47970	183770
207	48192	183500
208	48405	183198
209	48593	182804
210	48787	182434
211	48977	182047
212	49172	181684
213	49386	181390
214	49599	181094
215	49785	180703
216	50046	180583
217	50239	180218
218	50439	179879
219	50634	179522
220	50840	179205
221	51045	178890
222	51253	178584
223	51454	178253
224	51673	177985
225	51869	177641
226	52067	177304
227	52260	176951
228	52472	176663
229	52679	176362
230	52872	176012
231	53059	175643
232	53247	175282
233	53432	174912
234	53618	174546
235	53913	174532
236	54148	174327
237	54418	174230
238	54629	173945
239	54817	173587
240	55013	173259
241	55214	172943
242	55423	172657
243	55660	172455
244	56004	172585
245	56204	172269
246	56431	172035
247	56669	171835
248	56864	171507
249	57055	171166
250	57265	170884
251	57472	170594
252	57678	170299
253	57876	169982
254	58085	169700
255	58278	169373
256	58474	169052
257	58672	168739
258	58884	168468
259	59076	168139
260	59274	167831
261	59470	167515
262	59678	167237
263	59872	166915
264	60078	166632
265	60266	166298
266	60457	165975
267	60660	165684
268	60870	165412
269	61064	165101
270	61271	164823
271	61483	164559
272	61679	164252
273	61896	164002
274	62099	163716
275	62294	163408
276	62500	163132
277	62720	162893
278	63003	162814
279	63231	162595
280	63606	162750
281	64292	163694
282	64706	163937
283	64976	163812
284	65246	163688
285	65497	163514
286	65701	163222
287	65901	162923
288	66111	162648
289	66337	162413
290	66546	162135
291	66750	161846
292	66944	161535
293	67160	161276
294	67363	160988
295	67570	160707
296	67795	160472
297	68056	160321
298	68258	160031
299	68524	159890
300	68718	159581
301	68934	159325
302	69151	159070
303	69371	158823
304	69590	158575
305	69794	158292
306	69991	157994
307	70189	157698
308	70391	157413
309	70590	157120
310	70803	156859
311	71019	156606
312	71213	156305
313	71428	156050
314	71673	155860
315	71872	155571
316	72099	155343
317	72334	155131
318	72538	154854
319	72733	154557
320	72941	154290
321	73144	154012
322	73341	153721
323	73569	153497
324	73804	153285
325	74051	153099
326	74281	152880
327	74484	152602
328	74689	152329
329	74927	152126
330	75132	151853
331	75341	151590
332	75559	151346
333	75767	151081
334	75958	150782
335	76153	150493
336	76345	150198
337	76548	149925
338	76739	149631
339	76933	149341
340	77124	149046
341	77330	148782
342	77528	148501
343	77718	148207
344	77910	147917
345	78104	147631
346	78299	147346
347	78490	147057
348	78691	146785
349	78891	146512
350	79105	146266
351	79344	146065
352	79550	145804
353	79756	145543
354	80004	145360
355	80196	145075
356	80443	144888
357	80653	144636
358	80849	144357
359	81043	144077
360	81239	143800
361	81438	143529
362	81638	143260
363	81840	142995
364	82034	142717
365	82224	142433
366	82415	142149
367	82612	141877
368	82814	141614
369	83053	141416
370	83283	141199
371	83543	141035
372	83738	140761
373	83944	140505
374	84150	140251
375	84354	139992
376	84546	139714
377	84739	139438
378	84944	139182
379	85160	138945
380	85353	138670
381	85552	138406
382	85822	138256
383	86016	137985
384	86212	137715
385	86399	137432
386	86590	137158
387	86782	136883
388	86974	136609
389	87171	136345
390	87375	136091
391	87569	135821
392	87767	135559
393	87970	135304
394	88158	135028
395	88345	134749
396	88543	134487
397	88733	134215
398	88932	133955
399	89133	133700
400	89336	133448
401	89526	133176
402	89729	132924
403	89950	132699
404	90153	132448
405	90340	132172
406	90523	131893
407	90719	131631
408	90924	131384
409	91117	131120
410	91320	130869
411	91520	130616
412	91706	130343
413	91897	130077
414	92087	129809
415	92285	129554
416	92478	129292
417	92677	129038
418	92876	128785
419	93082	128542
420	93290	128302
421	93504	128069
422	93714	127832
423	93932	127606
424	94156	127388
425	94360	127143
426	94571	126907
427	94784	126675
428	94982	126421
429	95184	126174
430	95379	125918
431	95582	125673
432	95779	125419
433	95972	125162
434	96158	124895
435	96349	124635
436	96551	124390
437	96753	124144
438	96943	123884
439	97137	123629
440	97330	123373
441	97520	123113
442	97709	122854
443	97914	122613
444	98109	122361
445	98296	122099
446	98485	121840
447	98672	121578
448	98881	121344
449	99077	121094
450	99276	120848
451	99462	120586
452	99659	120339
453	99855	120090
454	100053	119843
455	100251	119598
456	100443	119344
457	100673	119137
458	100943	118977
459	101135	118724
460	101322	118465
461	101517	118217
462	101709	117965
463	101900	117712
464	102089	117458
465	102276	117200
466	102472	116954
467	102678	116720
468	102879	116480
469	103065	116222
470	103259	115975
471	103455	115729
472	103652	115485
473	103837	115229
474	104029	114979
475	104219	114729
476	104416	114486
477	104609	114238
478	104807	113997
479	104995	113745
480	105196	113506
481	105397	113269
482	105600	113034
483	105799	112794
484	105989	112545
485	106179	112297
486	106372	112051
487	106566	111807
488	106758	111561
