iter	RMSE
0	956.9927146
1	930.6642036
2	908.5145099
3	888.4768472
4	872.5721355
5	858.2758012
6	846.7445871
7	836.6307374
8	827.6036368
9	820.682637
10	814.1677736
11	808.8002372
12	804.1158053
13	800.3262183
14	796.3122262
15	793.0229134
16	790.364059
17	787.7958957
18	785.5678834
19	783.6598631
20	781.5479857
21	779.4235264
22	777.6259546
23	776.2721839
24	774.4470938
25	773.4241549
26	772.068287
27	770.5683111
28	769.7784414
29	768.3630762
30	767.1885057
31	766.4332786
32	765.7127483
33	764.9252514
34	764.3282874
35	763.7776911
36	763.1192031
37	762.4856426
38	761.9726403
39	761.3077567
40	760.0903487
41	759.4668908
42	758.8639074
43	758.3418901
44	757.7090147
45	757.0261832
46	756.561552
47	756.1854462
48	755.5235897
49	754.7793064
50	754.2960191
51	753.968201
52	753.5982188
53	753.2988876
54	753.0348217
55	752.5231077
56	751.983432
57	751.6788393
58	751.2858439
59	751.0358044
60	750.4272923
61	750.2407785
62	749.9031832
63	749.4877477
64	749.2479682
65	748.9856744
66	748.62782
67	748.371061
68	748.0803678
69	747.5175134
70	747.1021562
71	746.8810884
72	746.5235018
73	746.1354554
74	745.9214748
75	745.6640093
76	745.4750119
77	745.2065517
78	744.930691
79	744.7894533
80	744.4952024
81	744.3233609
82	743.9950603
83	743.5750144
84	743.2952953
85	743.0320167
86	742.56255
87	742.3837002
88	742.1464084
89	741.8896878
90	741.6609162
91	741.514359
92	741.325964
93	741.128759
94	740.868041
95	740.5921824
96	740.2477021
97	740.117423
98	739.9336325
99	739.5123952
100	739.2029106
101	738.6338071
102	738.4631797
103	738.1485399
104	737.9466622
105	737.6613112
106	737.4706107
107	737.1030169
108	736.6490036
109	736.4120921
110	736.0833347
111	735.7467509
112	735.2849726
113	735.0337488
114	734.7558502
115	734.5048032
116	734.2084931
117	733.9637531
118	733.7251175
119	733.4996312
120	733.2390548
121	732.9989624
122	732.8155462
123	732.2989918
124	732.1477236
125	731.950071
126	731.6663979
127	731.2468302
128	731.0827624
129	730.7339995
130	730.5046287
131	730.2237991
132	730.0163624
133	729.8579512
134	729.6313348
135	729.3645886
136	729.0521184
137	728.6169477
138	728.4324744
139	728.2567312
140	727.8757173
141	727.5308274
142	727.2606261
143	727.0967898
144	726.8638098
145	726.6506886
146	726.3993323
147	725.9511248
148	725.8127874
149	725.5706644
150	725.3323708
151	725.0432346
152	724.7604385
153	724.6073933
154	724.3556826
155	724.1785161
156	723.962577
157	723.7760661
158	723.6607784
159	723.4753732
160	723.1162365
161	722.8946919
162	722.6689542
163	722.3075444
164	722.0238247
165	721.7544166
166	721.6246749
167	721.3626322
168	721.2146839
169	721.0133906
170	720.7121592
171	720.500835
172	720.2829241
173	720.1077471
174	719.9277985
175	719.7631866
176	719.6237446
177	719.3565563
178	719.1198386
179	718.80577
180	718.5860052
181	718.413602
182	718.2038509
183	717.9539123
184	717.7538923
185	717.444446
186	717.1966091
187	716.9034832
188	716.7436923
189	716.5818724
190	716.3855027
191	716.1301252
192	715.7806167
193	715.5918412
194	715.3648995
195	715.2364398
196	714.900031
197	714.7866819
198	714.671543
199	714.5302317
200	714.318245
201	714.1729956
202	713.9921248
203	713.8086607
204	713.6326055
205	713.3642219
206	713.1837372
207	712.9349537
208	712.6942959
209	712.5766548
210	712.4681424
211	712.3086152
212	712.1625319
213	711.9774938
214	711.869834
215	711.6958664
216	711.5322845
217	711.3887299
218	711.2123956
219	711.0019419
220	710.7479898
221	710.5146528
222	710.3313531
223	710.2299706
224	710.0701378
225	709.8490972
226	709.6511499
227	709.4465704
228	709.2854135
229	709.0313953
230	708.8520463
231	708.5812587
232	708.348628
233	708.1203233
234	707.9761238
235	707.8285055
236	707.5912765
237	707.4405658
238	707.2399914
239	706.9448736
240	706.7818987
241	706.5751695
242	706.4543222
243	706.2539478
244	706.0376514
245	706.0074078
246	705.7828358
247	705.5753078
248	705.3542431
249	705.2085109
250	705.0580225
251	704.8768889
252	704.8525107
253	704.7244216
254	704.5797412
255	704.3758629
256	704.21811
257	703.9712147
258	703.8407066
259	703.7200817
260	703.5585582
261	703.5309913
262	703.29474
263	703.1529786
264	703.0426977
265	702.7671367
266	702.6429049
267	702.3484861
268	702.1685863
269	701.9924996
270	701.8848964
271	701.6855061
272	701.4580812
273	701.2647056
274	701.1754393
275	701.0519792
276	700.8598005
277	700.7243525
278	700.6067352
279	700.3675276
280	700.2066798
281	700.0738108
282	699.8478764
283	699.5717607
284	699.3462079
285	699.1959815
286	699.1139692
287	698.9246397
288	698.7782173
289	698.5371654
290	698.3358272
291	698.1926602
292	698.0544497
293	697.807831
294	697.6438652
295	697.4678293
296	697.1649789
297	696.8933941
298	696.7707468
299	696.6025786
300	696.4528148
301	696.3554044
302	696.2342018
303	696.0848319
304	696.0600494
305	695.8827429
306	695.7272777
307	695.5476281
308	695.3966259
309	695.2388084
310	694.9686141
311	694.8216785
312	694.6042884
313	694.5308629
314	694.395524
315	694.251069
316	694.155897
317	693.880694
318	693.7033389
319	693.5179136
320	693.4026046
321	693.2771839
322	693.1608045
323	693.0499714
324	692.8962258
325	692.774065
326	692.650257
327	692.4772419
328	692.3116268
329	692.11479
330	691.9278892
331	691.7517494
332	691.6342786
333	691.4356363
334	691.2877199
335	691.1484256
336	691.0303055
337	690.8358181
338	690.6794555
339	690.4993935
340	690.324132
341	690.0483426
342	689.8818326
343	689.7813009
344	689.5780424
345	689.4436529
346	689.3024932
347	689.0598849
348	688.8135108
349	688.6552372
350	688.4730578
351	688.3184042
352	688.2059919
353	688.0786538
354	687.9713077
355	687.9032938
356	687.7800916
357	687.5843816
358	687.4270663
359	687.2997554
360	687.1797505
361	687.0639145
362	686.9352786
363	686.7755159
364	686.6287749
365	686.459076
366	686.3088608
367	686.125058
368	685.952057
369	685.8047136
370	685.6968498
371	685.4968113
372	685.3106547
373	685.1688363
374	684.9255472
375	684.8134836
376	684.6909655
377	684.6004092
378	684.4460394
379	684.3036633
380	684.0526705
381	683.8348138
382	683.7034041
383	683.5730764
384	683.369379
385	683.1863545
386	683.0348567
387	682.8469288
388	682.6852994
389	682.5268544
390	682.392869
391	682.2481423
392	682.0350648
393	681.889738
394	681.7386234
395	681.5977768
396	681.458475
397	681.3051753
398	681.0876793
399	680.8694764
400	680.7605715
401	680.603248
402	680.4253178
403	680.2101891
404	680.0796131
405	679.9884351
406	679.8877974
407	679.7450311
408	679.5190358
409	679.3328028
410	679.1135014
411	678.9438239
412	678.8114875
413	678.6866047
414	678.5180077
415	678.4106712
416	678.2338131
417	678.0544997
418	677.9466405
419	677.8325508
420	677.6426021
421	677.5220565
422	677.4050909
423	677.2226528
424	677.1244453
425	676.9794835
426	676.8684466
427	676.7191166
428	676.5915628
429	676.4951142
430	676.3350217
431	676.161479
432	676.0490401
433	675.9548241
434	675.8525531
435	675.695348
436	675.6127402
437	675.423826
438	675.2719661
439	675.1447928
440	675.0306555
441	674.8590057
442	674.6956752
443	674.5318556
444	674.3451511
445	674.1906904
446	674.0413356
447	673.8730051
448	673.7482717
449	673.571424
450	673.3905381
451	673.1958134
452	673.0502526
