iter	Passed	Remaining
0	9	9828
1	20	10010
2	28	9400
3	35	8922
4	43	8702
5	51	8509
6	60	8540
7	68	8500
8	76	8396
9	83	8303
10	92	8349
11	100	8302
12	108	8243
13	116	8201
14	125	8224
15	133	8171
16	141	8197
17	149	8147
18	157	8119
19	165	8088
20	174	8104
21	182	8097
22	190	8076
23	198	8046
24	206	8031
25	213	8007
26	224	8090
27	235	8166
28	243	8138
29	253	8198
30	263	8241
31	272	8245
32	282	8273
33	290	8257
34	300	8286
35	309	8282
36	319	8316
37	328	8316
38	340	8384
39	351	8419
40	359	8388
41	369	8413
42	378	8416
43	388	8431
44	398	8452
45	406	8428
46	417	8450
47	425	8438
48	436	8457
49	445	8463
50	455	8463
51	463	8444
52	472	8429
53	480	8403
54	487	8374
55	495	8346
56	504	8339
57	512	8311
58	520	8285
59	527	8258
60	535	8231
61	542	8205
62	551	8187
63	559	8174
64	567	8154
65	575	8130
66	583	8114
67	592	8105
68	600	8088
69	607	8065
70	615	8046
71	624	8045
72	632	8028
73	652	8152
74	660	8133
75	669	8126
76	676	8101
77	685	8097
78	693	8074
79	701	8053
80	708	8028
81	717	8023
82	724	8001
83	732	7979
84	740	7959
85	748	7945
86	757	7939
87	764	7919
88	772	7900
89	780	7886
90	788	7867
91	796	7850
92	804	7841
93	812	7826
94	820	7807
95	827	7788
96	836	7779
97	844	7763
98	852	7750
99	860	7736
100	868	7720
101	876	7703
102	884	7693
103	891	7676
104	899	7660
105	907	7644
106	916	7638
107	923	7621
108	931	7603
109	938	7588
110	947	7579
111	954	7562
112	963	7557
113	971	7541
114	979	7526
115	987	7513
116	994	7500
117	1003	7492
118	1011	7477
119	1018	7461
120	1026	7445
121	1034	7433
122	1041	7418
123	1049	7408
124	1057	7395
125	1065	7382
126	1073	7373
127	1085	7389
128	1104	7448
129	1116	7466
130	1127	7472
131	1138	7477
132	1148	7478
133	1163	7508
134	1170	7493
135	1178	7477
136	1185	7461
137	1193	7446
138	1201	7431
139	1209	7423
140	1217	7409
141	1225	7396
142	1233	7381
143	1241	7370
144	1249	7361
145	1257	7349
146	1265	7335
147	1273	7324
148	1281	7309
149	1288	7295
150	1297	7285
151	1304	7271
152	1312	7259
153	1323	7260
154	1333	7258
155	1340	7243
156	1348	7230
157	1356	7219
158	1363	7205
159	1371	7191
160	1379	7182
161	1387	7168
162	1395	7155
163	1403	7143
164	1411	7135
165	1419	7121
166	1426	7108
167	1434	7095
168	1442	7082
169	1450	7071
170	1458	7063
171	1467	7053
172	1474	7041
173	1482	7028
174	1491	7021
175	1499	7010
176	1506	6998
177	1514	6985
178	1523	6980
179	1531	6967
180	1539	6956
181	1546	6942
182	1554	6932
183	1562	6920
184	1571	6916
185	1586	6934
186	1598	6941
187	1622	7000
188	1631	6993
189	1639	6980
190	1658	7014
191	1671	7025
192	1683	7029
193	1694	7030
194	1707	7038
195	1718	7039
196	1727	7034
197	1738	7034
198	1750	7036
199	1760	7032
200	1769	7023
201	1776	7011
202	1785	7000
203	1792	6987
204	1800	6975
205	1808	6962
206	1816	6951
207	1825	6943
208	1834	6932
209	1841	6918
210	1849	6907
211	1857	6894
212	1865	6885
213	1873	6873
214	1887	6883
215	1895	6871
216	1904	6863
217	1912	6850
218	1919	6837
219	1927	6824
220	1935	6813
221	1943	6800
222	1951	6791
223	1959	6779
224	1967	6767
225	1975	6755
226	1983	6747
227	1992	6736
228	2000	6724
229	2007	6711
230	2015	6701
231	2023	6689
232	2032	6680
233	2040	6669
234	2049	6664
235	2058	6656
236	2069	6654
237	2078	6646
238	2087	6637
239	2096	6628
240	2104	6619
241	2114	6615
242	2124	6611
243	2134	6603
244	2142	6593
245	2152	6589
246	2161	6581
247	2170	6571
248	2178	6561
249	2187	6552
250	2195	6544
251	2205	6536
252	2213	6525
253	2221	6514
254	2229	6506
255	2237	6494
256	2245	6482
257	2253	6471
258	2260	6459
259	2268	6447
260	2276	6436
261	2284	6426
262	2292	6416
263	2300	6404
264	2308	6394
265	2317	6385
266	2325	6375
267	2332	6363
268	2341	6352
269	2348	6341
270	2356	6331
271	2365	6323
272	2375	6317
273	2384	6308
274	2394	6304
275	2403	6296
276	2411	6286
277	2420	6277
278	2430	6272
279	2439	6264
280	2448	6256
281	2457	6247
282	2466	6239
283	2475	6231
284	2483	6222
285	2492	6213
286	2501	6207
287	2510	6198
288	2519	6190
289	2529	6183
290	2537	6174
291	2546	6166
292	2555	6156
293	2566	6153
294	2575	6145
295	2584	6137
296	2592	6127
297	2601	6119
298	2612	6115
299	2620	6106
300	2629	6098
301	2639	6091
302	2648	6082
303	2656	6073
304	2665	6065
305	2674	6056
306	2682	6047
307	2692	6040
308	2700	6029
309	2709	6022
310	2717	6012
311	2728	6007
312	2737	5998
313	2745	5990
314	2754	5980
315	2763	5972
316	2772	5964
317	2781	5957
318	2789	5947
319	2798	5938
320	2808	5932
321	2817	5924
322	2826	5915
323	2835	5906
324	2844	5899
325	2854	5892
326	2863	5883
327	2871	5874
328	2880	5866
329	2891	5862
330	2899	5851
331	2908	5842
332	2916	5833
333	2926	5827
334	2936	5821
335	2945	5812
336	2953	5802
337	2963	5794
338	2971	5786
339	2981	5778
340	2990	5770
341	2999	5761
342	3008	5753
343	3017	5745
344	3026	5737
345	3034	5726
346	3042	5716
347	3051	5707
348	3060	5700
349	3069	5691
350	3077	5682
351	3086	5673
352	3094	5663
353	3103	5653
354	3115	5651
355	3124	5642
356	3133	5634
357	3142	5625
358	3150	5615
359	3159	5607
360	3167	5597
361	3176	5588
362	3187	5583
363	3195	5574
364	3204	5566
365	3213	5558
366	3222	5548
367	3230	5538
368	3238	5528
369	3247	5520
370	3255	5510
371	3264	5502
372	3272	5491
373	3281	5483
374	3289	5473
375	3300	5468
376	3312	5465
377	3324	5461
378	3333	5452
379	3341	5442
380	3350	5434
381	3358	5424
382	3366	5415
383	3375	5405
384	3384	5397
385	3392	5387
386	3400	5376
387	3407	5366
388	3416	5357
389	3424	5346
390	3434	5340
391	3444	5334
392	3463	5340
393	3477	5339
394	3490	5337
395	3500	5329
396	3510	5322
397	3518	5313
398	3527	5305
399	3535	5294
400	3545	5286
401	3553	5276
402	3561	5267
403	3569	5256
404	3577	5246
405	3585	5236
406	3593	5227
407	3601	5217
408	3609	5206
409	3616	5195
410	3625	5187
411	3633	5176
412	3641	5166
413	3649	5156
414	3656	5145
415	3664	5135
416	3672	5125
417	3680	5116
418	3689	5106
419	3696	5096
420	3704	5085
421	3712	5076
422	3720	5066
423	3728	5056
424	3736	5045
425	3743	5035
426	3751	5025
427	3760	5016
428	3767	5006
429	3775	4995
430	3783	4985
431	3791	4976
432	3799	4966
433	3807	4956
434	3815	4946
435	3822	4936
436	3830	4926
437	3839	4917
438	3846	4907
439	3854	4896
440	3861	4886
441	3870	4878
442	3879	4868
443	3886	4858
444	3895	4849
445	3907	4844
446	3922	4844
447	3935	4840
448	3947	4835
449	3963	4834
450	3972	4826
451	3980	4817
452	3988	4807
453	3996	4797
454	4005	4788
455	4012	4778
456	4020	4768
457	4028	4758
458	4036	4749
459	4047	4742
460	4064	4742
461	4076	4738
462	4085	4729
463	4094	4721
464	4104	4713
465	4112	4703
466	4121	4694
467	4129	4685
468	4137	4675
469	4144	4664
470	4152	4655
471	4160	4644
472	4169	4636
473	4177	4626
474	4185	4617
475	4192	4606
476	4201	4598
477	4209	4587
478	4217	4577
479	4224	4567
480	4232	4558
481	4239	4547
482	4247	4537
483	4256	4528
484	4264	4519
485	4272	4509
486	4279	4499
487	4288	4490
488	4296	4480
489	4304	4471
490	4312	4461
491	4320	4452
492	4327	4441
493	4336	4433
494	4344	4423
495	4351	4412
496	4359	4403
497	4368	4394
498	4375	4384
499	4383	4375
500	4391	4365
501	4399	4355
502	4406	4345
503	4415	4336
504	4422	4326
505	4430	4317
506	4438	4307
507	4449	4300
508	4457	4290
509	4464	4280
510	4472	4271
511	4480	4261
512	4490	4253
513	4501	4247
514	4508	4237
515	4516	4227
516	4523	4217
517	4532	4208
518	4539	4198
519	4547	4188
520	4555	4179
521	4563	4170
522	4571	4160
523	4584	4155
524	4594	4148
525	4603	4139
526	4613	4131
527	4620	4121
528	4628	4112
529	4635	4102
530	4644	4093
531	4651	4083
532	4659	4073
533	4667	4064
534	4675	4055
535	4683	4045
536	4691	4036
537	4699	4027
538	4707	4017
539	4714	4007
540	4722	3997
541	4730	3988
542	4737	3978
543	4746	3969
544	4753	3960
545	4761	3950
546	4768	3940
547	4778	3932
548	4785	3922
549	4793	3913
550	4801	3903
551	4809	3894
552	4816	3884
553	4824	3875
554	4839	3871
555	4851	3865
556	4864	3859
557	4872	3851
558	4880	3841
559	4889	3833
560	4898	3824
561	4907	3816
562	4915	3806
563	4923	3797
564	4931	3787
565	4938	3778
566	4947	3769
567	4955	3760
568	4963	3750
569	4971	3741
570	4979	3732
571	4986	3722
572	4995	3713
573	5002	3704
574	5010	3694
575	5018	3685
576	5026	3676
577	5034	3666
578	5042	3657
579	5050	3648
580	5058	3639
581	5066	3630
582	5074	3621
583	5083	3612
584	5091	3603
585	5099	3593
586	5107	3584
587	5115	3575
588	5123	3566
589	5130	3556
590	5139	3547
591	5146	3538
592	5155	3529
593	5163	3520
594	5170	3510
595	5178	3501
596	5185	3491
597	5194	3483
598	5202	3473
599	5210	3464
600	5217	3455
601	5225	3446
602	5233	3436
603	5241	3428
604	5249	3418
605	5257	3409
606	5264	3400
607	5273	3391
608	5281	3382
609	5288	3372
610	5296	3363
611	5309	3357
612	5323	3352
613	5334	3344
614	5342	3335
615	5353	3328
616	5360	3318
617	5368	3309
618	5375	3300
619	5383	3290
620	5391	3281
621	5399	3272
622	5408	3263
623	5415	3254
624	5423	3245
625	5431	3236
626	5439	3227
627	5447	3218
628	5455	3209
629	5464	3200
630	5471	3191
631	5479	3181
632	5488	3173
633	5495	3163
634	5503	3154
635	5511	3145
636	5519	3136
637	5527	3127
638	5535	3118
639	5544	3109
640	5553	3101
641	5565	3094
642	5578	3088
643	5590	3081
644	5601	3074
645	5609	3065
646	5617	3056
647	5625	3047
648	5632	3037
649	5641	3029
650	5650	3020
651	5657	3011
652	5665	3002
653	5673	2992
654	5681	2983
655	5690	2975
656	5698	2966
657	5706	2957
658	5714	2948
659	5721	2938
660	5729	2929
661	5738	2921
662	5746	2912
663	5754	2903
664	5761	2893
665	5770	2885
666	5778	2876
667	5785	2866
668	5793	2857
669	5801	2848
670	5815	2842
671	5828	2836
672	5841	2829
673	5850	2820
674	5858	2812
675	5866	2802
676	5874	2794
677	5882	2784
678	5890	2775
679	5898	2767
680	5906	2758
681	5914	2749
682	5921	2739
683	5933	2732
684	5946	2725
685	5957	2718
686	5968	2710
687	5977	2702
688	5986	2693
689	5993	2684
690	6001	2674
691	6009	2665
692	6019	2657
693	6033	2651
694	6067	2654
695	6083	2648
696	6095	2640
697	6111	2635
698	6121	2627
699	6129	2618
700	6137	2609
701	6147	2600
702	6155	2591
703	6163	2582
704	6171	2573
705	6180	2565
706	6189	2556
707	6196	2547
708	6204	2537
709	6213	2528
710	6220	2519
711	6229	2510
712	6236	2501
713	6244	2492
714	6252	2483
715	6261	2474
716	6268	2465
717	6276	2456
718	6284	2447
719	6292	2438
720	6300	2429
721	6309	2420
722	6316	2411
723	6324	2402
724	6332	2393
725	6340	2384
726	6349	2375
727	6356	2366
728	6364	2357
729	6372	2348
730	6380	2339
731	6387	2329
732	6396	2321
733	6404	2312
734	6412	2303
735	6421	2294
736	6431	2286
737	6441	2277
738	6449	2268
739	6457	2259
740	6467	2251
741	6480	2244
742	6489	2235
743	6497	2226
744	6506	2218
745	6514	2209
746	6521	2200
747	6529	2190
748	6537	2182
749	6545	2173
750	6553	2164
751	6565	2156
752	6572	2147
753	6580	2138
754	6589	2129
755	6597	2120
756	6606	2112
757	6614	2103
758	6622	2094
759	6630	2085
760	6639	2076
761	6646	2067
762	6654	2058
763	6661	2049
764	6669	2040
765	6678	2031
766	6685	2022
767	6693	2013
768	6701	2004
769	6709	1995
770	6716	1986
771	6725	1977
772	6733	1968
773	6741	1959
774	6748	1950
775	6757	1941
776	6765	1932
777	6772	1923
778	6780	1914
779	6788	1906
780	6796	1897
781	6804	1888
782	6812	1879
783	6820	1870
784	6827	1861
785	6836	1852
786	6844	1843
787	6851	1834
788	6860	1826
789	6868	1816
790	6876	1808
791	6885	1799
792	6892	1790
793	6900	1781
794	6908	1772
795	6915	1763
796	6924	1755
797	6935	1746
798	6943	1737
799	6951	1729
800	6959	1720
801	6967	1711
802	6975	1702
803	6982	1693
804	6994	1685
805	7005	1677
806	7013	1668
807	7021	1659
808	7030	1651
809	7038	1642
810	7046	1633
811	7054	1624
812	7062	1615
813	7070	1606
814	7078	1598
815	7087	1589
816	7094	1580
817	7101	1571
818	7110	1562
819	7118	1553
820	7125	1544
821	7134	1536
822	7141	1527
823	7149	1518
824	7157	1509
825	7165	1500
826	7173	1491
827	7181	1483
828	7189	1474
829	7197	1465
830	7204	1456
831	7213	1447
832	7221	1439
833	7229	1430
834	7237	1421
835	7245	1412
836	7254	1404
837	7262	1395
838	7269	1386
839	7277	1377
840	7285	1368
841	7293	1359
842	7301	1351
843	7311	1342
844	7318	1333
845	7326	1325
846	7335	1316
847	7343	1307
848	7350	1298
849	7358	1289
850	7366	1281
851	7374	1272
852	7382	1263
853	7390	1254
854	7397	1245
855	7405	1237
856	7414	1228
857	7423	1219
858	7432	1211
859	7440	1202
860	7447	1193
861	7455	1184
862	7464	1176
863	7471	1167
864	7479	1158
865	7486	1149
866	7495	1141
867	7503	1132
868	7513	1123
869	7524	1115
870	7534	1107
871	7543	1098
872	7551	1089
873	7559	1081
874	7567	1072
875	7575	1063
876	7583	1054
877	7591	1046
878	7598	1037
879	7606	1028
880	7614	1019
881	7622	1011
882	7630	1002
883	7638	993
884	7646	984
885	7655	976
886	7663	967
887	7671	958
888	7678	950
889	7686	941
890	7694	932
891	7701	923
892	7710	915
893	7718	906
894	7726	897
895	7733	889
896	7741	880
897	7750	871
898	7757	862
899	7765	854
900	7772	845
901	7781	836
902	7788	828
903	7797	819
904	7804	810
905	7812	801
906	7820	793
907	7829	784
908	7836	775
909	7844	767
910	7852	758
911	7860	749
912	7867	741
913	7876	732
914	7884	723
915	7892	715
916	7900	706
917	7909	697
918	7918	689
919	7927	680
920	7934	672
921	7942	663
922	7950	654
923	7959	646
924	7966	637
925	7974	628
926	7982	619
927	7990	611
928	7998	602
929	8006	593
930	8013	585
931	8025	576
932	8041	568
933	8057	560
